Rainfall - (MM), Year, Statistics, Country, ISO3
41.7917, 1917, Dec Average, Bahamas, The, BHS
33.7228, 1918, Jan Average, Bahamas, The, BHS
32.7617, 1918, Feb Average, Bahamas, The, BHS
60.2451, 1918, Mar Average, Bahamas, The, BHS
134.846, 1918, Apr Average, Bahamas, The, BHS
100.708, 1918, May Average, Bahamas, The, BHS
182.938, 1918, Jun Average, Bahamas, The, BHS
152.417, 1918, Jul Average, Bahamas, The, BHS
109.711, 1918, Aug Average, Bahamas, The, BHS
228.831, 1918, Sep Average, Bahamas, The, BHS
93.7126, 1918, Oct Average, Bahamas, The, BHS
49.7904, 1918, Nov Average, Bahamas, The, BHS
53.7148, 1918, Dec Average, Bahamas, The, BHS
70.3496, 1919, Jan Average, Bahamas, The, BHS
42.9226, 1919, Feb Average, Bahamas, The, BHS
93.1711, 1919, Mar Average, Bahamas, The, BHS
85.3208, 1919, Apr Average, Bahamas, The, BHS
231.256, 1919, May Average, Bahamas, The, BHS
148.687, 1919, Jun Average, Bahamas, The, BHS
175.403, 1919, Jul Average, Bahamas, The, BHS
96.662, 1919, Aug Average, Bahamas, The, BHS
173.49, 1919, Sep Average, Bahamas, The, BHS
55.2155, 1919, Oct Average, Bahamas, The, BHS
73.9328, 1919, Nov Average, Bahamas, The, BHS
52.6866, 1919, Dec Average, Bahamas, The, BHS
35.1623, 1920, Jan Average, Bahamas, The, BHS
90.624, 1920, Feb Average, Bahamas, The, BHS
32.7266, 1920, Mar Average, Bahamas, The, BHS
146.167, 1920, Apr Average, Bahamas, The, BHS
247.953, 1920, May Average, Bahamas, The, BHS
64.8731, 1920, Jun Average, Bahamas, The, BHS
91.3193, 1920, Jul Average, Bahamas, The, BHS
85.6452, 1920, Aug Average, Bahamas, The, BHS
147.086, 1920, Sep Average, Bahamas, The, BHS
102.764, 1920, Oct Average, Bahamas, The, BHS
65.1995, 1920, Nov Average, Bahamas, The, BHS
48.9973, 1920, Dec Average, Bahamas, The, BHS
19.4926, 1921, Jan Average, Bahamas, The, BHS
38.4544, 1921, Feb Average, Bahamas, The, BHS
43.4503, 1921, Mar Average, Bahamas, The, BHS
