Temperature - (Celsius), Year, Statistics, Country, ISO3
20.3089, 1916, May Average, Tanzania, United Republic of, TZA
18.5639, 1916, Jun Average, Tanzania, United Republic of, TZA
17.7403, 1916, Jul Average, Tanzania, United Republic of, TZA
18.8032, 1916, Aug Average, Tanzania, United Republic of, TZA
20.2243, 1916, Sep Average, Tanzania, United Republic of, TZA
23.9798, 1916, Oct Average, Tanzania, United Republic of, TZA
21.203, 1916, Nov Average, Tanzania, United Republic of, TZA
21.0732, 1916, Dec Average, Tanzania, United Republic of, TZA
20.2701, 1917, Jan Average, Tanzania, United Republic of, TZA
20.6242, 1917, Feb Average, Tanzania, United Republic of, TZA
20.424, 1917, Mar Average, Tanzania, United Republic of, TZA
20.1422, 1917, Apr Average, Tanzania, United Republic of, TZA
19.7853, 1917, May Average, Tanzania, United Republic of, TZA
18.1239, 1917, Jun Average, Tanzania, United Republic of, TZA
18.0648, 1917, Jul Average, Tanzania, United Republic of, TZA
19.588, 1917, Aug Average, Tanzania, United Republic of, TZA
20.0944, 1917, Sep Average, Tanzania, United Republic of, TZA
21.3141, 1917, Oct Average, Tanzania, United Republic of, TZA
21.2701, 1917, Nov Average, Tanzania, United Republic of, TZA
20.6128, 1917, Dec Average, Tanzania, United Republic of, TZA
20.5162, 1918, Jan Average, Tanzania, United Republic of, TZA
20.8211, 1918, Feb Average, Tanzania, United Republic of, TZA
21.0255, 1918, Mar Average, Tanzania, United Republic of, TZA
20.1249, 1918, Apr Average, Tanzania, United Republic of, TZA
19.2605, 1918, May Average, Tanzania, United Republic of, TZA
18.3784, 1918, Jun Average, Tanzania, United Republic of, TZA
18.3407, 1918, Jul Average, Tanzania, United Republic of, TZA
19.0225, 1918, Aug Average, Tanzania, United Republic of, TZA
20.6455, 1918, Sep Average, Tanzania, United Republic of, TZA
22.735, 1918, Oct Average, Tanzania, United Republic of, TZA
21.8318, 1918, Nov Average, Tanzania, United Republic of, TZA
21.5888, 1918, Dec Average, Tanzania, United Republic of, TZA
21.9738, 1919, Jan Average, Tanzania, United Republic of, TZA
22.3155, 1919, Feb Average, Tanzania, United Republic of, TZA
22.0626, 1919, Mar Average, Tanzania, United Republic of, TZA
21.1005, 1919, Apr Average, Tanzania, United Republic of, TZA
19.8599, 1919, May Average, Tanzania, United Republic of, TZA
18.4704, 1919, Jun Average, Tanzania, United Republic of, TZA
17.9188, 1919, Jul Average, Tanzania, United Republic of, TZA
19.4469, 1919, Aug Average, Tanzania, United Republic of, TZA
21.0694, 1919, Sep Average, Tanzania, United Republic of, TZA
21.0776, 1919, Oct Average, Tanzania, United Republic of, TZA
21.4171, 1919, Nov Average, Tanzania, United Republic of, TZA
21.0805, 1919, Dec Average, Tanzania, United Republic of, TZA
21.3688, 1920, Jan Average, Tanzania, United Republic of, TZA
21.2195, 1920, Feb Average, Tanzania, United Republic of, TZA
21.3427, 1920, Mar Average, Tanzania, United Republic of, TZA
19.7689, 1920, Apr Average, Tanzania, United Republic of, TZA
19.7316, 1920, May Average, Tanzania, United Republic of, TZA
17.7707, 1920, Jun Average, Tanzania, United Republic of, TZA
17.9819, 1920, Jul Average, Tanzania, United Republic of, TZA
19.3112, 1920, Aug Average, Tanzania, United Republic of, TZA
22.7154, 1920, Sep Average, Tanzania, United Republic of, TZA
24.0448, 1920, Oct Average, Tanzania, United Republic of, TZA
24.0734, 1920, Nov Average, Tanzania, United Republic of, TZA
20.1854, 1920, Dec Average, Tanzania, United Republic of, TZA
22.3101, 1921, Jan Average, Tanzania, United Republic of, TZA
22.5034, 1921, Feb Average, Tanzania, United Republic of, TZA
23.6582, 1921, Mar Average, Tanzania, United Republic of, TZA
22.7599, 1921, Apr Average, Tanzania, United Republic of, TZA
21.5244, 1921, May Average, Tanzania, United Republic of, TZA
19.8245, 1921, Jun Average, Tanzania, United Republic of, TZA
20.4192, 1921, Jul Average, Tanzania, United Republic of, TZA
20.7075, 1921, Aug Average, Tanzania, United Republic of, TZA
21.8946, 1921, Sep Average, Tanzania, United Republic of, TZA
23.3664, 1921, Oct Average, Tanzania, United Republic of, TZA
23.4097, 1921, Nov Average, Tanzania, United Republic of, TZA
23.4947, 1921, Dec Average, Tanzania, United Republic of, TZA
23.507, 1922, Jan Average, Tanzania, United Republic of, TZA
24.0406, 1922, Feb Average, Tanzania, United Republic of, TZA
23.5263, 1922, Mar Average, Tanzania, United Republic of, TZA
22.3271, 1922, Apr Average, Tanzania, United Republic of, TZA
20.7034, 1922, May Average, Tanzania, United Republic of, TZA
20.5799, 1922, Jun Average, Tanzania, United Republic of, TZA
18.9438, 1922, Jul Average, Tanzania, United Republic of, TZA
20.8103, 1922, Aug Average, Tanzania, United Republic of, TZA
22.4945, 1922, Sep Average, Tanzania, United Republic of, TZA
22.7771, 1922, Oct Average, Tanzania, United Republic of, TZA
23.3254, 1922, Nov Average, Tanzania, United Republic of, TZA
22.6559, 1922, Dec Average, Tanzania, United Republic of, TZA
22.9918, 1923, Jan Average, Tanzania, United Republic of, TZA
23.3341, 1923, Feb Average, Tanzania, United Republic of, TZA
22.7617, 1923, Mar Average, Tanzania, United Republic of, TZA
22.1194, 1923, Apr Average, Tanzania, United Republic of, TZA
21.7444, 1923, May Average, Tanzania, United Republic of, TZA
19.9722, 1923, Jun Average, Tanzania, United Republic of, TZA
19.3924, 1923, Jul Average, Tanzania, United Republic of, TZA
20.2374, 1923, Aug Average, Tanzania, United Republic of, TZA
21.6502, 1923, Sep Average, Tanzania, United Republic of, TZA
23.0824, 1923, Oct Average, Tanzania, United Republic of, TZA
23.1789, 1923, Nov Average, Tanzania, United Republic of, TZA
23.2636, 1923, Dec Average, Tanzania, United Republic of, TZA
22.8196, 1924, Jan Average, Tanzania, United Republic of, TZA
23.5062, 1924, Feb Average, Tanzania, United Republic of, TZA
23.6685, 1924, Mar Average, Tanzania, United Republic of, TZA
